{ Allegro X System Capture 25.1 }

{ Reference Designator Reassignment Summary }

{ Run time : 16-Nov-2025 AT 20:53:38 }

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference Designator Reassigned for : 3 Instances
Reference Designator Preserved for  : 59 Instances
Reference Designator Ignored for    : 0 Instances
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Instance Spath	Instance Name	Block Name	Page	Old Refdes	Old Section	New Refdes	New Section	Status
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
@worklib.\safety_circuit_2025-26\(tbl_1):\I100\	i98	safety_circuit_2025-26	Main(1)	R33	1	R33	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I101\	i99	safety_circuit_2025-26	Main(1)	R15	1	R15	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I102\	i100	safety_circuit_2025-26	Main(1)	R5	1	R5	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I103\	i101	safety_circuit_2025-26	Main(1)	R6	1	R6	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I104\	i102	safety_circuit_2025-26	Main(1)	R18	1	R18	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I105\	i103	safety_circuit_2025-26	Main(1)	R24	1	R24	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I106\	i104	safety_circuit_2025-26	Main(1)	R36	1	R36	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I107\	i105	safety_circuit_2025-26	Main(1)	R7	1	R7	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I108\	i106	safety_circuit_2025-26	Main(1)	R25	1	R25	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I109\	i107	safety_circuit_2025-26	Main(1)	R26	1	R26	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I10\	i10	safety_circuit_2025-26	Main(1)	R11	1	R11	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I110\	i108	safety_circuit_2025-26	Main(1)	R8	1	R8	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I111\	i109	safety_circuit_2025-26	Main(1)	R9	1	R9	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I112\	i110	safety_circuit_2025-26	Main(1)	R27	1	R27	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I113\	i111	safety_circuit_2025-26	Main(1)	U2	1	U2	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I114\	i112	safety_circuit_2025-26	Main(1)	U3	1	U8	1	Reassigned
@worklib.\safety_circuit_2025-26\(tbl_1):\I115\	i113	safety_circuit_2025-26	Main(1)	U8	1	U9	1	Reassigned
@worklib.\safety_circuit_2025-26\(tbl_1):\I116\	i114	safety_circuit_2025-26	Main(1)	U9	1	U3	1	Reassigned
@worklib.\safety_circuit_2025-26\(tbl_1):\I17\	i17	safety_circuit_2025-26	Main(1)	C1	1	C1	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I19\	i19	safety_circuit_2025-26	Main(1)	C2	1	C2	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I22\	i22	safety_circuit_2025-26	Main(1)	R14	1	R14	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I26\	i26	safety_circuit_2025-26	Main(1)	U5	1	U5	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I27\	i27	safety_circuit_2025-26	Main(1)	C3	1	C3	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I30\	i30	safety_circuit_2025-26	Main(1)	R17	1	R17	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I34\	i34	safety_circuit_2025-26	Main(1)	U6	1	U6	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I35\	i35	safety_circuit_2025-26	Main(1)	C4	1	C4	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I38\	i38	safety_circuit_2025-26	Main(1)	R29	1	R29	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I41\	i41	safety_circuit_2025-26	Main(1)	U7	1	U7	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I42\	i42	safety_circuit_2025-26	Main(1)	U10	1	U10	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I43\	i43	safety_circuit_2025-26	Main(1)	C5	1	C5	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I46\	i46	safety_circuit_2025-26	Main(1)	R32	1	R32	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I50\	i50	safety_circuit_2025-26	Main(1)	U11	1	U11	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I51\	i51	safety_circuit_2025-26	Main(1)	C6	1	C6	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I54\	i54	safety_circuit_2025-26	Main(1)	R35	1	R35	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I58\	i58	safety_circuit_2025-26	Main(1)	U12	1	U12	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I59\	i59	safety_circuit_2025-26	Main(1)	LED1	1	LED1	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I5\	i5	safety_circuit_2025-26	Main(1)	U1	1	U1	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I60\	i60	safety_circuit_2025-26	Main(1)	LED4	1	LED4	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I61\	i61	safety_circuit_2025-26	Main(1)	LED5	1	LED5	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I62\	i62	safety_circuit_2025-26	Main(1)	LED6	1	LED6	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I63\	i63	safety_circuit_2025-26	Main(1)	LED2	1	LED2	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I64\	i64	safety_circuit_2025-26	Main(1)	LED3	1	LED3	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I65\	i65	safety_circuit_2025-26	Main(1)	R10	1	R10	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I66\	i66	safety_circuit_2025-26	Main(1)	R28	1	R28	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I67\	i67	safety_circuit_2025-26	Main(1)	R31	1	R31	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I68\	i68	safety_circuit_2025-26	Main(1)	R13	1	R13	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I69\	i69	safety_circuit_2025-26	Main(1)	R16	1	R16	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I70\	i70	safety_circuit_2025-26	Main(1)	R34	1	R34	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I74\	i72	safety_circuit_2025-26	Main(1)	R1	1	R1	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I79\	i77	safety_circuit_2025-26	Main(1)	R4	1	R4	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I7\	i7	safety_circuit_2025-26	Main(1)	U4	1	U4	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I8\	i8	safety_circuit_2025-26	Main(1)	J1	1	J1	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I91\	i89	safety_circuit_2025-26	Main(1)	R19	1	R19	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I92\	i90	safety_circuit_2025-26	Main(1)	R20	1	R20	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I93\	i91	safety_circuit_2025-26	Main(1)	R21	1	R21	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I94\	i92	safety_circuit_2025-26	Main(1)	R2	1	R2	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I95\	i93	safety_circuit_2025-26	Main(1)	R3	1	R3	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I96\	i94	safety_circuit_2025-26	Main(1)	R12	1	R12	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I97\	i95	safety_circuit_2025-26	Main(1)	R30	1	R30	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I98\	i96	safety_circuit_2025-26	Main(1)	R22	1	R22	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I99\	i97	safety_circuit_2025-26	Main(1)	R23	1	R23	1	Preserved
@worklib.\safety_circuit_2025-26\(tbl_1):\I9\	i9	safety_circuit_2025-26	Main(1)	J2	1	J2	1	Preserved

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
