{ Allegro X System Capture 25.1 }

{ Reference Designator Reassignment Summary }

{ Run time : 25-Nov-2025 AT 00:58:07 }

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference Designator Reassigned for : 0 Instances
Reference Designator Preserved for  : 72 Instances
Reference Designator Ignored for    : 0 Instances
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Instance Spath	Instance Name	Block Name	Page	Old Refdes	Old Section	New Refdes	New Section	Status
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
@worklib.\safety_circuit_25-26\(tbl_1):\I101\	i101	safety_circuit_25-26	Main(1)	R15	1	R15	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I107\	i107	safety_circuit_25-26	Main(1)	R33	1	R33	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I110\	i110	safety_circuit_25-26	Main(1)	U5	1	U5	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I111\	i111	safety_circuit_25-26	Main(1)	U2	1	U2	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I112\	i112	safety_circuit_25-26	Main(1)	U11	1	U11	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I113\	i113	safety_circuit_25-26	Main(1)	U8	1	U8	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I114\	i114	safety_circuit_25-26	Main(1)	C3	1	C3	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I115\	i115	safety_circuit_25-26	Main(1)	C6	1	C6	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I116\	i116	safety_circuit_25-26	Main(1)	LED3	1	LED3	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I117\	i117	safety_circuit_25-26	Main(1)	LED6	1	LED6	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I11\	i11	safety_circuit_25-26	Main(1)	J1	1	J1	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I121\	i121	safety_circuit_25-26	Main(1)	R17	1	R17	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I127\	i127	safety_circuit_25-26	Main(1)	R35	1	R35	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I12\	i12	safety_circuit_25-26	Main(1)	J2	1	J2	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I130\	i130	safety_circuit_25-26	Main(1)	U6	1	U6	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I131\	i131	safety_circuit_25-26	Main(1)	U3	1	U3	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I132\	i132	safety_circuit_25-26	Main(1)	U12	1	U12	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I133\	i133	safety_circuit_25-26	Main(1)	U9	1	U9	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I134\	i134	safety_circuit_25-26	Main(1)	R4	1	R4	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I135\	i135	safety_circuit_25-26	Main(1)	R1	1	R1	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I136\	i136	safety_circuit_25-26	Main(1)	R10	1	R10	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I137\	i137	safety_circuit_25-26	Main(1)	R2	1	R2	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I138\	i138	safety_circuit_25-26	Main(1)	R3	1	R3	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I139\	i139	safety_circuit_25-26	Main(1)	R21	1	R21	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I140\	i140	safety_circuit_25-26	Main(1)	R20	1	R20	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I141\	i141	safety_circuit_25-26	Main(1)	R19	1	R19	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I142\	i142	safety_circuit_25-26	Main(1)	R28	1	R28	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I143\	i143	safety_circuit_25-26	Main(1)	R22	1	R22	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I144\	i144	safety_circuit_25-26	Main(1)	R23	1	R23	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I145\	i145	safety_circuit_25-26	Main(1)	R29	1	R29	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I146\	i146	safety_circuit_25-26	Main(1)	R11	1	R11	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I147\	i147	safety_circuit_25-26	Main(1)	R5	1	R5	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I148\	i148	safety_circuit_25-26	Main(1)	R6	1	R6	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I149\	i149	safety_circuit_25-26	Main(1)	R12	1	R12	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I150\	i150	safety_circuit_25-26	Main(1)	R30	1	R30	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I151\	i151	safety_circuit_25-26	Main(1)	R24	1	R24	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I152\	i152	safety_circuit_25-26	Main(1)	R7	1	R7	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I153\	i153	safety_circuit_25-26	Main(1)	R25	1	R25	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I154\	i154	safety_circuit_25-26	Main(1)	R26	1	R26	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I155\	i155	safety_circuit_25-26	Main(1)	R8	1	R8	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I156\	i156	safety_circuit_25-26	Main(1)	R9	1	R9	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I157\	i157	safety_circuit_25-26	Main(1)	R27	1	R27	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I158\	i158	safety_circuit_25-26	Main(1)	R14	1	R14	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I159\	i159	safety_circuit_25-26	Main(1)	R32	1	R32	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I160\	i160	safety_circuit_25-26	Main(1)	R34	1	R34	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I161\	i161	safety_circuit_25-26	Main(1)	R16	1	R16	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I162\	i162	safety_circuit_25-26	Main(1)	R18	1	R18	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I163\	i163	safety_circuit_25-26	Main(1)	R36	1	R36	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I164\	i164	safety_circuit_25-26	Main(1)	C7	1	C7	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I165\	i165	safety_circuit_25-26	Main(1)	LED7	1	LED7	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I166\	i166	safety_circuit_25-26	Main(1)	R37	1	R37	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I167\	i167	safety_circuit_25-26	Main(1)	R38	1	R38	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I168\	i168	safety_circuit_25-26	Main(1)	R39	1	R39	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I169\	i169	safety_circuit_25-26	Main(1)	R40	1	R40	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I16\	i16	safety_circuit_25-26	Main(1)	C4	1	C4	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I170\	i170	safety_circuit_25-26	Main(1)	R41	1	R41	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I171\	i171	safety_circuit_25-26	Main(1)	R42	1	R42	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I172\	i172	safety_circuit_25-26	Main(1)	U13	1	U13	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I173\	i173	safety_circuit_25-26	Main(1)	U14	1	U14	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I22\	i22	safety_circuit_25-26	Main(1)	LED4	1	LED4	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I52\	i52	safety_circuit_25-26	Main(1)	R31	1	R31	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I65\	i65	safety_circuit_25-26	Main(1)	U10	1	U10	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I67\	i67	safety_circuit_25-26	Main(1)	U7	1	U7	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I84\	i84	safety_circuit_25-26	Main(1)	C1	1	C1	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I85\	i85	safety_circuit_25-26	Main(1)	LED1	1	LED1	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I89\	i89	safety_circuit_25-26	Main(1)	R13	1	R13	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I92\	i92	safety_circuit_25-26	Main(1)	U4	1	U4	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I93\	i93	safety_circuit_25-26	Main(1)	U1	1	U1	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I94\	i94	safety_circuit_25-26	Main(1)	C2	1	C2	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I95\	i95	safety_circuit_25-26	Main(1)	C5	1	C5	1	Preserved
@worklib.\safety_circuit_25-26\(tbl_1):\I96\	i96	safety_circuit_25-26	Main(1)	LED2	1	LED2	1	Preserved
